City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,thanh hoa,76,VN,1529880915,100,10.21,106.33,78.87,8.5
87,hobyo,36,SO,1529880916,81,5.35,48.53,75.72,18.01
88,patzcuaro,75,MX,1529878440,73,19.52,-101.6,69.8,8.05
89,los llanos de aridane,0,ES,1529879400,77,28.66,-17.92,69.8,4.7
90,iroquois falls,20,CA,1529877600,34,48.76,-80.69,64.4,11.41
91,hofn,92,IS,1529880629,99,64.25,-15.21,48.81,23.15
92,det udom,40,TH,1529877600,100,14.9,105.08,77.0,3.36
93,chernyshevskiy,24,RU,1529880918,50,63.01,112.47,70.68,3.13
94,port augusta,90,AU,1529877600,100,-32.49,137.76,42.8,3.36
95,llangefni,0,GB,1529877000,72,53.26,-4.31,60.8,3.36
96,grindavik,90,IS,1529879400,100,63.84,-22.43,46.4,18.34
97,saldanha,0,PT,1529880920,79,41.42,-6.55,65.19,3.36
98,speightstown,75,BB,1529877600,74,13.25,-59.65,82.4,26.4
99,dingle,20,PH,1529880325,99,11.0,122.67,78.78,2.68
100,katsuura,0,JP,1529877600,78,33.93,134.5,71.6,3.36
101,esperance,20,TT,1529877600,94,10.24,-61.45,77.0,12.75
102,constitucion,75,MX,1529876700,39,23.99,-104.67,78.8,7.94
103,laguna,5,MX,1529876460,30,27.52,-110.01,93.2,9.17
104,carnarvon,0,ZA,1529880923,71,-30.97,22.13,30.63,7.49
105,atuona,92,PF,1529880923,100,-9.8,-139.03,80.31,19.69
106,east london,0,ZA,1529880924,100,-33.02,27.91,65.91,12.97
107,san cristobal,40,EC,1529877600,63,-0.39,-78.55,60.8,17.22
108,bluff,88,AU,1529880351,37,-23.58,149.07,63.21,5.7
109,hithadhoo,8,MV,1529880925,100,-0.6,73.08,79.41,1.9
110,arlit,56,NE,1529880925,52,18.74,7.39,82.02,10.4
111,nikolskoye,20,RU,1529877600,87,59.7,30.79,53.6,6.71
112,waitati,0,NZ,1529880926,71,-45.75,170.57,41.79,19.24
113,novyy svit,0,UA,1529880927,84,47.81,38.02,58.62,6.38
114,libreville,40,GA,1529879400,88,0.39,9.45,78.8,6.93
115,longyearbyen,75,NO,1529877000,87,78.22,15.63,42.8,11.41
116,sao gabriel da cachoeira,24,BR,1529880928,90,-0.13,-67.09,76.89,2.57
117,lake city,1,US,1529879700,9,38.03,-107.32,71.6,6.93
118,hambantota,20,LK,1529880545,100,6.12,81.12,78.42,14.43
119,mackay,75,CA,1529877600,39,53.65,-115.58,78.8,9.17
120,plettenberg bay,48,ZA,1529880929,100,-34.05,23.37,56.46,7.72
121,barguzin,92,RU,1529880930,100,53.62,109.63,52.68,2.68
122,tilichiki,0,RU,1529880632,73,60.47,166.1,60.24,3.69
123,lagoa,0,PT,1529879400,73,37.14,-8.45,69.8,8.05
124,torbay,90,CA,1529877600,100,47.66,-52.73,51.8,5.82
125,souillac,0,FR,1529879400,55,45.6,-0.6,66.2,8.05
126,otradnoye,20,RU,1529877600,87,59.77,30.8,53.6,6.71
127,batagay-alyta,68,RU,1529880348,46,67.8,130.41,73.65,4.03
128,garowe,64,SO,1529880932,58,8.41,48.48,78.42,13.42
129,barrow,0,AR,1529880333,32,-38.31,-60.23,40.89,16.55
130,portland,20,US,1529877360,37,45.52,-122.67,84.2,8.05
131,ostersund,48,SE,1529878800,71,63.18,14.64,53.6,3.36
132,sorland,92,NO,1529880376,96,67.67,12.69,49.08,17.56
133,linhai,12,CN,1529880934,91,28.86,121.14,79.68,3.58
134,vallenar,0,CL,1529880403,90,-28.58,-70.76,42.42,1.23
135,bara,92,NG,1529880934,87,10.41,10.6,74.91,6.93
136,yining,0,CN,1529880935,83,29.04,114.56,81.03,3.36
137,brae,64,GB,1529878800,87,60.4,-1.35,51.8,14.99
138,clyde river,90,CA,1529877600,86,70.47,-68.59,39.2,5.82
139,tiksi,68,RU,1529880936,72,71.64,128.87,49.35,7.72
140,sembakung,8,ID,1529880937,92,3.82,117.25,76.71,2.91
